제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
제과+제빵기능사 취득과정(필기+실기),경희커피바리스타제과직업전문학교,AIG20220000382285,10,500034242603,201801000,11560,2024-01-04,2024-02-23,1,2,50,7.1,1.7,17,9,952000,972000,91.7,21020102,국민내일배움카드(일반),C0061, 영등포구,02-3667-7175,52.9,,,
[전산세무회계]전산세무1급 자격증 시험,엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,AIG20220000381848,2,500034282945,201801390,11620,2024-01-04,2024-02-02,1,2,29,4.1,1.0,25,13,432960,432960,74.0,2030202,국민내일배움카드(일반),C0061, 관악구,02-2636-7776,52.0,정보통신,,
제빵기능사 자격증 취득[실기],퍼스트바리스타제과제빵학원,AIG20230000420509,1,500036090863,201902283,11650,2024-01-04,2024-03-12,1,3,68,9.7,2.3,15,5,408000,550000,92.6,21020102,국민내일배움카드(일반),C0061, 서초구,02-6952-5391,33.3,,,
(세무사회)전산회계1급 취득,예우전산세무회계학원,AIG20230000433953,1,500020052986,200500676,11305,2024-01-04,2024-01-31,1,1,27,3.9,0.9,10,6,524800,524800,92.1,2030201,국민내일배움카드(일반),C0061, 강북구,02-989-0968,60.0,정보통신,,
부동산 권리분석 및 명도실무,종로여성인력개발센터,AIG20220000395311,12,500020058490,200400247,11110,2024-01-04,2024-02-06,1,2,33,4.7,1.1,25,15,200700,200700,75.5,5010101,국민내일배움카드(일반),C0061, 종로구,02-765-1326,60.0,,,
중식기능사실기,제일요리아카데미학원,AIG20230000427840,1,500020019659,200700841,11230,2024-01-04,2024-02-22,1,2,49,7.0,1.6,10,9,342000,342000,96.4,13010103,국민내일배움카드(일반),C0061, 동대문구,02-2247-0788,90.0,,,
화훼장식기능사 국가자격증 취득과정(실기),지오지오플로리스트학원,AIG20230000415523,1,500042534120,202205011,11440,2024-01-04,2024-03-21,1,3,77,11.0,2.6,10,8,670320,720320,100.0,24010401,국민내일배움카드(일반),C0061, 마포구,02-571-6888,80.0,,,
시각디자인(포토샵),엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000378869,12,500020044103,200701729,11500,2024-01-04,2024-02-02,1,2,29,4.1,1.0,30,13,202320,202320,79.0,8020101,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,43.3,,,
커피 바리스타2급 자격증 취득(저녁반),파우제직업전문학원,AIG20230000426353,1,500041553696,202201276,11560,2024-01-04,2024-02-06,1,2,33,4.7,1.1,18,11,231000,231000,98.6,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2671-2670,61.1,,,
전산회계1급/전산세무2급 자격증취득과정,미래컴퓨터아카데미,AIG20230000429031,1,500020037214,200802982,11305,2024-01-05,2024-02-26,1,2,52,7.4,1.7,10,7,911840,911840,96.4,2030202,국민내일배움카드(일반),C0061, 강북구,02-981-1186,70.0,정보통신,,
스마트폰 활용 SNS홍보마케팅(유튜브),종로여성인력개발센터,AIG20230000419315,1,500020058490,200400247,11110,2024-01-05,2024-03-15,1,3,70,10.0,2.3,25,8,161760,161760,95.2,2010301,국민내일배움카드(일반),C0061, 종로구,02-765-1326,32.0,정보통신,,
네일 실무 과정(젤아트+드릴),시내코스평생교육원,AIG20220000393953,11,500037134292,202000505,11230,2024-01-05,2024-02-15,1,2,41,5.9,1.4,14,8,517600,567600,92.1,12010104,국민내일배움카드(일반),C0061, 동대문구,02-960-7423,57.1,,,
39시간만에 끝내는 오토캐드(도면설계) 기초활용,역삼 그린컴퓨터아카데미,AIG20220000378701,8,500020046288,201200854,11680,2024-01-05,2024-02-07,1,2,33,4.7,1.1,20,11,265980,265980,84.2,14030104,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,55.0,,,
『JAVA』자바 프로그래밍 기초부터 실무테크닉,강남 그린컴퓨터아카데미,AIG20220000373376,2,500020046871,201100784,11680,2024-01-05,2024-02-07,1,2,33,4.7,1.1,20,7,258180,258180,78.6,20010202,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,35.0,정보통신,정보기술,정보기술개발
컴퓨터활용능력2급 자격증 취득,서대문여성인력개발센터,AIG20220000387125,6,500020060396,199800138,11410,2024-01-05,2024-02-06,1,2,32,4.6,1.1,15,11,552000,552000,92.9,2020302,국민내일배움카드(일반),C0061, 서대문구,02-332-8661,73.3,정보통신,,
39시간만에 끝내는 일러스트 (기초/GTQi자격증),역삼 그린컴퓨터아카데미,AIG20220000377339,8,500020046288,201200854,11680,2024-01-05,2024-02-07,1,2,33,4.7,1.1,20,15,219180,219180,85.7,8020101,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,75.0,,,
전자소송 및 회생파산 법률취업교육과정,중앙법률사무교육학원,AIG20230000419462,1,500020033745,200500610,11650,2024-01-05,2024-01-26,1,1,21,3.0,0.7,60,34,641280,641280,95.5,5010101,국민내일배움카드(일반),C0061, 서초구,02-525-1007,56.7,,,
제과기능사 자격증 취득[실기],퍼스트아카데미,AIG20230000429852,1,500041619331,202201727,11650,2024-01-05,2024-02-23,1,2,49,7.0,1.6,15,9,408000,550000,90.2,21020101,국민내일배움카드(일반),C0061, 서초구,02-6952-5391,60.0,,,
영상편집(애프터이펙트),엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000378944,6,500020044103,200701729,11500,2024-01-05,2024-02-06,1,2,32,4.6,1.1,20,5,202320,202320,91.8,8020104,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,25.0,,,
네일아트 실무과정,강서크리스챤쇼보미용학원,AIG20230000447743,1,500020035263,201402573,11500,2024-01-05,2024-04-01,1,4,87,12.4,2.9,10,8,905800,905800,93.7,12010104,국민내일배움카드(일반),C0061, 강서구,02-2605-2079,80.0,,,
커피바리스타2급(이론+실기) 취득과정,제일요리아카데미학원,AIG20220000396382,10,500020019659,200700841,11230,2024-01-05,2024-02-23,1,2,49,7.0,1.6,12,8,616000,616000,95.2,13010203,국민내일배움카드(일반),C0061, 동대문구,02-2247-0788,66.7,,,
소방시설관리사 2차 실기(점검실무 평가 기초반),박호순소방학원,AIG20230000444354,1,500038902873,202100095,11560,2024-01-06,2024-03-02,1,3,56,8.0,1.9,36,19,153840,250000,97.1,5020104,국민내일배움카드(일반),C0061, 영등포구,070-8621-2119,52.8,,,
속눈썹 연장 및 펌 과정,예인직업전문학교,AIG20230000446547,1,500020029090,200800028,11500,2024-01-06,2024-01-20,1,1,14,2.0,0.5,10,8,258800,358800,94.6,12010103,국민내일배움카드(일반),C0061, 강서구,02-2602-7888,80.0,,,
헤어실무속성과정,엠뷰티아카데미,AIG20230000418107,1,500020049277,201001447,11470,2024-01-06,2024-03-01,1,3,55,7.9,1.8,20,8,634060,634060,90.5,12010101,국민내일배움카드(일반),C0061, 양천구,02-2603-8889,40.0,,,
도배실무(입문),다인직업전문학교,AIG20230000419119,1,500020015811,200702113,11470,2024-01-06,2024-02-04,1,2,29,4.1,1.0,15,8,545600,545600,94.6,14030209,국민내일배움카드(일반),C0061, 양천구,02-2695-6955,53.3,,,
소방시설관리사 취득(필기),모아소방전기학원,AIG20230000428366,1,500020011194,201402404,11560,2024-01-06,2024-03-02,1,3,56,8.0,1.9,23,10,307680,489600,92.1,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,43.5,,,
조주기능사(바텐더)자격증 실기,서울현대직업전문학교,AIG20230000424617,1,500020017021,200902155,11530,2024-01-06,2024-02-24,1,2,49,7.0,1.6,20,20,300300,300300,95.7,13010204,국민내일배움카드(일반),C0061, 구로구,02-2638-0700,100.0,,,
전산세무2급자격증반,대성회계실무학원주식회사,AIG20230000426500,1,500020038398,200401290,11230,2024-01-06,2024-02-04,1,2,29,4.1,1.0,13,2,432960,432960,89.3,2030202,국민내일배움카드(일반),C0061, 동대문구,02-966-8400,15.4,정보통신,,
국가자격증 화훼장식기능사(실기),피오르플라워디자인학원,AIG20230000420177,1,500041221460,202200176,11380,2024-01-06,2024-03-16,1,3,70,10.0,2.3,10,8,446880,546880,97.4,24010401,국민내일배움카드(일반),C0061, 은평구,02-2039-9949,80.0,,,
"[주말] 재경관리사(원가관리회계,재무회계,세무회계) 자격증",이젠아카데미 DX교육센터,AIG20230000420195,1,500020050800,200600964,11110,2024-01-06,2024-03-24,1,3,78,11.1,2.6,25,16,787200,787200,94.2,2030202,국민내일배움카드(일반),C0061, 종로구,02-733-8781,64.0,정보통신,,
주얼리라이노캐드 양성과정(토요반),한국보석학원,AIG20230000420990,1,500020037544,200601080,11110,2024-01-06,2024-03-16,1,3,70,10.0,2.3,7,7,469200,500000,83.3,22020201,국민내일배움카드(일반),C0061, 종로구,02-764-4500,100.0,,,
소방기술사 필기(정규반),주식회사케이소방학원,AIG20230000416112,2,500020027076,200701004,11560,2024-01-06,2024-05-04,1,5,119,17.0,4.0,39,3,615360,900000,0.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2637-0119,7.7,,,
[주말]방수기능사자격증 취득,서울인테리어기술교육원,AIG20230000416696,1,500020055976,201101512,11380,2024-01-06,2024-01-14,1,1,8,1.1,0.3,20,8,190960,340960,96.9,14030203,국민내일배움카드(일반),C0061, 은평구,02-388-8779,40.0,,,
(주말)[컴활2급]컴퓨터활용능력2급(엑셀실기),하이미디어아카데미인재개발원,AIG20220000407632,6,500020037340,201101542,11110,2024-01-06,2024-02-03,1,2,28,4.0,0.9,22,5,180000,180000,90.0,2020302,국민내일배움카드(일반),C0061, 종로구,02-723-0008,22.7,정보통신,,
"정리수납 전문가과정(1급, 2급 자격증취득)",송파CS평생교육원(경매·법률·부동산·정리수납 등),AIG20220000401082,8,500039017905,202100716,11710,2024-01-06,2024-02-17,1,2,42,6.0,1.4,15,14,165500,165500,95.8,11020102,국민내일배움카드(일반),C0061, 송파구,02-2203-0888,93.3,,,
생활한복 제작과정,한국패션실용전문학교,AIG20220000396033,7,500020044202,200701286,11110,2024-01-06,2024-03-23,1,3,77,11.0,2.6,15,8,463400,463400,86.8,18020205,국민내일배움카드(일반),C0061, 종로구,02-742-2253,53.3,,,
전기(산업)기사 취득 실기특강A,서울공과전기학원,AIG20230000439079,1,500020020500,200803096,11560,2024-01-06,2024-02-24,1,2,49,7.0,1.6,40,11,493200,493200,100.0,19010701,국민내일배움카드(일반),C0061, 영등포구,02-2676-1114,27.5,,,
가구제작 (입문) ,은곡직업전문학교,AIG20230000434784,1,500020016734,200300247,11350,2024-01-06,2024-03-16,1,3,70,10.0,2.3,20,12,558600,558600,93.1,22020106,국민내일배움카드(일반),C0061, 노원구,02-952-1163,60.0,,,
GCS 국제 바리스타 레벨1 자격증 취득+라떼아트(주말 / 기초반),뉴욕바리스타베버리지학원,AIG20230000434959,1,500040951361,202104725,11560,2024-01-06,2024-02-03,1,2,28,4.0,0.9,18,10,207900,207900,96.9,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,55.6,,,
홈패션 제품제작 입문,논현한국문화센터평생교육원,AIG20230000435535,1,500020049067,201100376,11650,2024-01-06,2024-04-13,1,4,98,14.0,3.3,10,5,456780,501780,100.0,18020201,국민내일배움카드(일반),C0061, 서초구,02-512-3314,50.0,,,
홈패션 봉제실무,논현한국문화센터평생교육원,AIG20230000435537,1,500020049067,201100376,11650,2024-01-06,2024-03-30,1,3,84,12.0,2.8,10,5,397200,432200,100.0,18020201,국민내일배움카드(일반),C0061, 서초구,02-512-3314,50.0,,,
소방시설관리사 필기(평가),모아소방전기학원,AIG20230000428376,1,500020011194,201402404,11560,2024-01-06,2024-03-09,1,3,63,9.0,2.1,23,8,307680,489600,97.6,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,34.8,,,
인테리어필름시공실무주말,(주)제로인테리어필름학원,AIG20230000431974,1,500020040518,201301503,11620,2024-01-06,2024-03-03,1,3,57,8.1,1.9,17,7,872960,872960,100.0,14030209,국민내일배움카드(일반),C0061, 관악구,02-883-5602,41.2,,,
"『실무 활용』 기초엑셀부터,파워포인트 입문&활용까지!",그린컴퓨터아카데미 신촌,AIG20230000422594,1,500020016713,200802672,11440,2024-01-06,2024-01-27,1,1,21,3.0,0.7,20,10,144000,144000,87.7,2020302,국민내일배움카드(일반),C0061, 마포구,02-715-2111,50.0,정보통신,,
(초급)전산회계1급자격증반,대성회계실무학원주식회사,AIG20230000425575,1,500020038398,200401290,11230,2024-01-06,2024-02-04,1,2,29,4.1,1.0,13,4,432960,432960,97.6,2030202,국민내일배움카드(일반),C0061, 동대문구,02-966-8400,30.8,정보통신,,
건축전기설비기술사 연구1,새한전기기술사학원,AIG20230000420890,2,500020011114,201403283,11560,2024-01-06,2024-07-06,1,7,182,26.0,6.1,23,14,602800,1542990,98.9,19010601,국민내일배움카드(일반),C0061, 영등포구,02-6959-3588,60.9,,,
『주말』[스케치업]3D실내건축설계 및 실내인테리어 디자인을 위한 SKETCHUP(VRay),그린컴퓨터아카데미 신촌,AIG20220000401487,4,500020016713,200802672,11440,2024-01-06,2024-02-17,1,2,42,6.0,1.4,20,10,202320,202320,92.9,8020107,국민내일배움카드(일반),C0061, 마포구,02-715-2111,50.0,,,
엑셀기초실무 + 컴퓨터활용능력2급(실기) 취득과정 주말,노원그린컴퓨터아카데미,AIG20220000382793,6,500020044993,201000733,11350,2024-01-06,2024-02-17,1,2,42,6.0,1.4,20,9,234000,234000,87.6,2020302,국민내일배움카드(일반),C0061, 노원구,02-6953-2002,45.0,정보통신,,
파이썬(Python) 프로그램 기초,엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000379089,5,500020044103,200701729,11500,2024-01-06,2024-02-24,1,2,49,7.0,1.6,30,9,258180,258180,78.6,20010202,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,30.0,정보통신,정보기술,정보기술개발
NEW 제빵기능사취득반(실기),한솔요리아카데미 강동,AIG20220000379584,3,500020030731,200601534,11740,2024-01-06,2024-05-04,1,5,119,17.0,4.0,14,8,408000,458000,97.6,21020102,국민내일배움카드(일반),C0061, 강동구,02-472-8400,57.1,,,
직업상담실무-집단상담프로그램 기획운영실무,종로여성인력개발센터,AIG20220000371847,4,500020058490,200400247,11110,2024-01-06,2024-02-03,1,2,28,4.0,0.9,15,15,193800,193800,97.7,7020101,국민내일배움카드(일반),C0061, 종로구,02-765-1326,100.0,,,
"카페디저트실무과정(스콘,타르트,티라미수)",서울현대직업전문학교,AIG20220000375956,3,500020017021,200902155,11530,2024-01-06,2024-03-16,1,3,70,10.0,2.3,18,11,408000,408000,90.5,21020101,국민내일배움카드(일반),C0061, 구로구,02-2638-0700,61.1,,,
펫패션(애견의류) 제작 기초과정,서울패션직업전문학교,AIG20230000450177,1,500020050641,200500245,11440,2024-01-06,2024-03-16,1,3,70,10.0,2.3,16,16,258180,258180,89.3,18020201,국민내일배움카드(일반),C0061, 마포구,02-755-3755,100.0,,,
국제심사원 ISO45001 자격 취득,주경야독 직업전문학교,AIG20220000395089,13,500020019071,201101225,11545,2024-01-06,2024-01-07,1,1,1,0.1,0.0,12,11,105920,306976,97.7,23060101,국민내일배움카드(일반),C0061, 금천구,02-395-3650,91.7,,,
쉽게 배우는 오토캐드(AutoCAD) 실무,더조은컴퓨터아카데미,AIG20220000387879,1,500020028586,200902169,11680,2024-01-06,2024-02-17,1,2,42,6.0,1.4,20,8,409200,409200,88.1,14030104,국민내일배움카드(일반),C0061, 강남구,02-594-5613,40.0,,,
"카티아(CATIA) 기계캐드설계(3D 모델링 파트,서피스,어셈블리)",이젠아카데미DX교육센터,AIG20220000383678,3,500020017427,200701876,11650,2024-01-06,2024-04-13,1,4,98,14.0,3.3,20,18,626880,626880,82.1,15010201,국민내일배움카드(일반),C0061, 서초구,02-532-6500,90.0,,,
NEW 제과기능사취득반(실기),한솔요리아카데미 강동,AIG20220000381429,3,500020030731,200601534,11740,2024-01-06,2024-04-20,1,4,105,15.0,3.5,14,12,353600,403600,95.2,21020101,국민내일배움카드(일반),C0061, 강동구,02-472-8400,85.7,,,
[컴활]컴퓨터활용능력 2급 실기(엑셀),엠비씨(MBC)아카데미 컴퓨터교육센터,AIG20220000373750,13,500020031223,201201399,11530,2024-01-06,2024-02-17,1,2,42,6.0,1.4,30,6,216000,216000,86.7,2020302,국민내일배움카드(일반),C0061, 구로구,02-6956-2408,20.0,정보통신,,
컴퓨터기초(윈도우/인터넷/한글/파워포인트/엑셀),국제컴퓨터학원,AIG20230000421824,2,500020028217,200800801,11650,2024-01-06,2024-03-30,1,3,84,12.0,2.8,9,0,552000,552000,97.1,2020302,국민내일배움카드(일반),C0061, 서초구,02-535-9951,0.0,정보통신,,
패션일러스트 손도식화&작업지시서,자리잡자직업전문학교,AIG20230000436362,1,500020019322,200200663,11170,2024-01-06,2024-03-16,1,3,70,10.0,2.3,20,7,317760,347760,21.4,18020102,국민내일배움카드(일반),C0061, 용산구,02-792-8001,35.0,,,
소방기술사 필기(연구반),주식회사케이소방학원,AIG20230000423253,1,500020027076,200701004,11560,2024-01-06,2024-05-04,1,5,119,17.0,4.0,39,4,615360,900000,100.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2637-0119,10.3,,,
[컴활] 컴퓨터활용능력2급(엑셀) 실기,엠비씨(MBC)아카데미컴퓨터학원 천호점,AIG20220000376123,8,500020054992,200701698,11740,2024-01-06,2024-02-24,1,2,49,7.0,1.6,30,8,234000,234000,87.8,2020302,국민내일배움카드(일반),C0061, 강동구,02-479-0654,26.7,정보통신,,
[디자이너 필수 자격증] 컬러리스트(산업)기사 실기 과정,강남 그린컴퓨터아카데미,AIG20230000419999,1,500020046871,201100784,11680,2024-01-06,2024-03-23,1,3,77,11.0,2.6,20,14,337200,337200,100.0,8020108,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,70.0,,,
정리수납전문가 2급,종로여성인력개발센터,AIG20220000377362,9,500020058490,200400247,11110,2024-01-06,2024-02-03,1,2,28,4.0,0.9,16,13,132400,132400,88.6,11020102,국민내일배움카드(일반),C0061, 종로구,02-765-1326,81.2,,,
컴퓨터활용능력 1급(실기),엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000378799,4,500020044103,200701729,11500,2024-01-06,2024-02-24,1,2,49,7.0,1.6,20,8,234000,234000,76.2,2020302,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,40.0,정보통신,,
